Model,MDO3014
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,DIGITAL
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,4e-07,,,,,Horizontal Scale,4e-07
Horizontal Delay,4.28e-07,,,,,,
Sample Interval,4e-10,,,,,Sample Interval,2e-09
Record Length,10000,,,,,Record Length,2000
Gating,0.0% to 100.0%,,,,,Gating,0.1% to 100.0%
Probe Attenuation,10,10,1000,1,,,
Vertical Units,V,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,0,,Threshold Used,3.04
Vertical Scale,100,2,2000,1,,,
Vertical Position,-0.06,-3.32,-2.38,-4.08,,,
,,,,,,,
,,,,,,,
,,,,,,,
Label,di/dt,Current,MCP,Trigger,,Label,
TIME,CH1,CH2,CH3,CH4,,TIME,D0
-1.5404e-06,2,0.08,40,-0.04,,-1.414e-06,0
-1.5400e-06,2,-0.08,40,-0.04,,-1.412e-06,0
-1.5396e-06,-2,8.88178e-16,40,-0.08,,-1.410e-06,0
-1.5392e-06,2,0.08,40,0,,-1.408e-06,0
-1.5388e-06,2,8.88178e-16,-120,-0.04,,-1.406e-06,0
-1.5384e-06,2,8.88178e-16,-40,0,,-1.404e-06,0
-1.5380e-06,2,8.88178e-16,40,0,,-1.402e-06,0
-1.5376e-06,2,8.88178e-16,120,0,,-1.400e-06,0
-1.5372e-06,2,0.08,40,-0.04,,-1.398e-06,0
-1.5368e-06,-2,8.88178e-16,-40,-0.04,,-1.396e-06,0
-1.5364e-06,2,8.88178e-16,-40,0,,-1.394e-06,0
-1.5360e-06,-2,8.88178e-16,40,0,,-1.392e-06,0
-1.5356e-06,2,8.88178e-16,40,-0.04,,-1.390e-06,0
-1.5352e-06,2,0.08,40,0,,-1.388e-06,0
-1.5348e-06,2,-0.08,-40,0,,-1.386e-06,0
-1.5344e-06,2,0.08,40,0,,-1.384e-06,0
-1.5340e-06,2,8.88178e-16,-40,0,,-1.382e-06,0
-1.5336e-06,-2,0.08,40,0,,-1.380e-06,0
-1.5332e-06,-2,8.88178e-16,-40,-0.04,,-1.378e-06,0
-1.5328e-06,2,0.08,40,-0.04,,-1.376e-06,0
-1.5324e-06,2,8.88178e-16,-40,0.04,,-1.374e-06,0
-1.5320e-06,-6,8.88178e-16,-40,0,,-1.372e-06,0
-1.5316e-06,-2,-0.08,-40,0,,-1.370e-06,0
-1.5312e-06,2,8.88178e-16,40,-0.04,,-1.368e-06,0
-1.5308e-06,2,0.08,200,0,,-1.366e-06,0
-1.5304e-06,2,8.88178e-16,40,-0.04,,-1.364e-06,0
-1.5300e-06,-2,8.88178e-16,40,-0.08,,-1.362e-06,0
-1.5296e-06,2,0.08,40,-0.04,,-1.360e-06,0
-1.5292e-06,2,8.88178e-16,120,0,,-1.358e-06,0
-1.5288e-06,2,8.88178e-16,40,0,,-1.356e-06,0
-1.5284e-06,2,8.88178e-16,40,0,,-1.354e-06,0
-1.5280e-06,-6,8.88178e-16,-40,-0.04,,-1.352e-06,0
-1.5276e-06,-2,8.88178e-16,40,-0.04,,-1.350e-06,0
-1.5272e-06,-2,8.88178e-16,40,-0.04,,-1.348e-06,0
-1.5268e-06,-2,8.88178e-16,40,-0.04,,-1.346e-06,0
-1.5264e-06,-2,8.88178e-16,40,0.04,,-1.344e-06,0
-1.5260e-06,-2,8.88178e-16,40,0,,-1.342e-06,0
-1.5256e-06,-2,8.88178e-16,40,-0.04,,-1.340e-06,0
-1.5252e-06,-2,8.88178e-16,-40,0,,-1.338e-06,0
-1.5248e-06,2,0.08,40,0,,-1.336e-06,0
-1.5244e-06,2,0.08,40,0,,-1.334e-06,0
-1.5240e-06,2,8.88178e-16,-40,-0.04,,-1.332e-06,0
-1.5236e-06,-2,-0.08,40,-0.04,,-1.330e-06,0
-1.5232e-06,-2,0.08,40,0,,-1.328e-06,0
-1.5228e-06,2,-0.08,40,0,,-1.326e-06,0
-1.5224e-06,2,8.88178e-16,40,-0.04,,-1.324e-06,0
-1.5220e-06,2,8.88178e-16,40,-0.04,,-1.322e-06,0
-1.5216e-06,-2,-0.08,-40,-0.04,,-1.320e-06,0
-1.5212e-06,-2,-0.16,120,-0.04,,-1.318e-06,0
-1.5208e-06,-2,8.88178e-16,40,-0.04,,-1.316e-06,0
-1.5204e-06,-2,8.88178e-16,-40,0,,-1.314e-06,0
-1.5200e-06,2,8.88178e-16,40,0.04,,-1.312e-06,0
-1.5196e-06,2,8.88178e-16,40,-0.04,,-1.310e-06,0
-1.5192e-06,2,0.08,120,0,,-1.308e-06,0
-1.5188e-06,2,0.08,-40,0,,-1.306e-06,0
-1.5184e-06,2,0.08,-40,0,,-1.304e-06,0
-1.5180e-06,-2,8.88178e-16,40,0,,-1.302e-06,0
-1.5176e-06,-2,-0.08,40,-0.04,,-1.300e-06,0
-1.5172e-06,-2,8.88178e-16,40,-0.04,,-1.298e-06,0
-1.5168e-06,2,8.88178e-16,-40,-0.04,,-1.296e-06,0
-1.5164e-06,-2,8.88178e-16,40,-0.04,,-1.294e-06,0
-1.5160e-06,2,0.08,40,-0.04,,-1.292e-06,0
